indicator_name,indicator_code
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS
Control of Corruption: Estimate,CC.EST
Control of Corruption: Number of Sources,CC.NO.SRC
Control of Corruption: Percentile Rank,CC.PER.RNK
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER
Control of Corruption: Standard Error,CC.STD.ERR
S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG
Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS
"Listed domestic companies, total",CM.MKT.LDOM.NO
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD
"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD
"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD
"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD
"Net bilateral aid flows from DAC donors, Czechia (current US$)",DC.DAC.CZEL.CD
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD
"Net bilateral aid flows from DAC donors, Estonia (current US$)",DC.DAC.ESTL.CD
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD
"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD
"Net bilateral aid flows from DAC donors, Hungary (current US$)",DC.DAC.HUNL.CD
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD
"Net bilateral aid flows from DAC donors, Lithuania (current US$)",DC.DAC.LTUL.CD
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",DC.DAC.SVKL.CD
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD
Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS
"Net ODA provided, total (current US$)",DC.ODA.TOTL.CD
"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS
"Net ODA provided, total (constant 2021 US$)",DC.ODA.TOTL.KD
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS
"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS
Short-term debt (% of total external debt),DT.DOD.DSTC.ZS
"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD
Present value of external debt (current US$),DT.DOD.PVLX.CD
"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS
Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS
"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD
"Net official flows from UN agencies, CERF (current US$)",DT.NFL.CERF.CD
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD
"Net official flows from UN agencies, FAO (current US$)",DT.NFL.FAOG.CD
"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD
"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD
"Net official flows from UN agencies, ILO (current US$)",DT.NFL.ILOG.CD
"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD
"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD
"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD
"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD
"PPG, official creditors (NFL, US$)",DT.NFL.OFFT.CD
"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD
"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD
"PPG, private creditors (NFL, US$)",DT.NFL.PRVT.CD
"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD
"Net official flows from UN agencies, SDGFUND (current US$)",DT.NFL.SDGF.CD
"Net official flows from UN agencies, SPRP (current US$)",DT.NFL.SPRP.CD
"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD
"Net official flows from UN agencies, UNCDF (current US$)",DT.NFL.UNCD.CD
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD
"Net official flows from UN agencies, UNCTAD (current US$)",DT.NFL.UNCTAD.CD
"Net official flows from UN agencies, UNCOVID (current US$)",DT.NFL.UNCV.CD
"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD
"Net official flows from UN agencies, UNECE (current US$)",DT.NFL.UNEC.CD
"Net official flows from UN agencies, UNEP (current US$)",DT.NFL.UNEP.CD
"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD
"Net official flows from UN agencies, UNIDIR (current US$)",DT.NFL.UNID.CD
"Net official flows from UN agencies, UNIDO (current US$)",DT.NFL.UNIDO.CD
"Net official flows from UN agencies, UNPBF (current US$)",DT.NFL.UNPB.CD
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD
"Net official flows from UN agencies, UNTA (current US$)",DT.NFL.UNTA.CD
"Net official flows from UN agencies, UNWOMEN (current US$)",DT.NFL.UNWN.CD
"Net official flows from UN agencies, UNWTO (current US$)",DT.NFL.UNWT.CD
"Net official flows from UN agencies, WFP (current US$)",DT.NFL.WFPG.CD
"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD
"Net official flows from UN agencies, WTO-ITC (current US$)",DT.NFL.WITC.CD
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD
Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD
Net official aid received (current US$),DT.ODA.OATL.CD
Net official aid received (constant 2021 US$),DT.ODA.OATL.KD
Net official development assistance received (current US$),DT.ODA.ODAT.CD
Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS
Net official development assistance received (constant 2021 US$),DT.ODA.ODAT.KD
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS
"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS
"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD
Public and publicly guaranteed debt service (% of GNI),DT.TDS.DPPG.GN.ZS
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",DT.TDS.DPPG.XP.ZS
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS
"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS
Access to electricity (% of population),EG.ELC.ACCS.ZS
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",EG.USE.COMM.GD.PP.KD
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS
"Bird species, threatened",EN.BIR.THRD.NO
Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS
"Fish species, threatened",EN.FSH.THRD.NO
Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5
Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5
Methane (CH4) emissions from Building (Energy) (Mt CO2e),EN.GHG.CH4.BU.MT.CE.AR5
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CH4.FE.MT.CE.AR5
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CH4.IC.MT.CE.AR5
Methane (CH4) emissions from Industrial Processes (Mt CO2e),EN.GHG.CH4.IP.MT.CE.AR5
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CH4.MT.CE.AR5
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CH4.PI.MT.CE.AR5
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CH4.TR.MT.CE.AR5
Methane (CH4) emissions from Waste (Mt CO2e),EN.GHG.CH4.WA.MT.CE.AR5
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CH4.ZG.AR5
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),EN.GHG.CO2.LU.DF.MT.CE.AR5
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),EN.GHG.CO2.LU.FL.MT.CE.AR5
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),EN.GHG.CO2.LU.OL.MT.CE.AR5
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),EN.GHG.CO2.LU.OS.MT.CE.AR5
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5
F-gases emissions from Industrial Processes (Mt CO2e),EN.GHG.FGAS.IP.MT.CE.AR5
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),EN.GHG.N2O.AG.MT.CE.AR5
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),EN.GHG.N2O.BU.MT.CE.AR5
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.N2O.MT.CE.AR5
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.N2O.ZG.AR5
Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5
"Plant species (higher), threatened",EN.HPT.THRD.NO
"Mammal species, threatened",EN.MAM.THRD.NO
Population density (people per sq. km of land area),EN.POP.DNST
Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS
Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS
Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS
Population in largest city,EN.URB.LCTY
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS
Population in urban agglomerations of more than 1 million,EN.URB.MCTY
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS
Aquaculture production (metric tons),ER.FSH.AQUA.MT
Capture fisheries production (metric tons),ER.FSH.CAPT.MT
Total fisheries production (metric tons),ER.FSH.PROD.MT
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3
Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS
Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS
Total reserves in months of imports,FI.RES.TOTL.MO
Total reserves minus gold (current US$),FI.RES.XGLD.CD
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3
Net domestic credit (current LCU),FM.AST.DOMS.CN
Net foreign assets (current LCU),FM.AST.NFRG.CN
Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS
Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3
Broad money (current LCU),FM.LBL.BMNY.CN
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS
Broad money growth (annual %),FM.LBL.BMNY.ZG
Consumer price index (2010 = 100),FP.CPI.TOTL
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
Wholesale price index (2010 = 100),FP.WPI.TOTL
Deposit interest rate (%),FR.INR.DPST
Lending interest rate (%),FR.INR.LEND
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP
Real interest rate (%),FR.INR.RINR
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS
Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS
